#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         238     1.77112     2.01384   0.0335765
         239     1.77662     2.01285   0.0334507
         240       1.782     2.01189   0.0333251
         241     1.78721     2.01096   0.0331999
         242     1.79223     2.01005    0.033075
         243     1.79703     2.00918   0.0329505
         244     1.80159     2.00832   0.0328264
         245     1.80589      2.0075   0.0327029
         246     1.80992      2.0067   0.0325798
         247     1.81367     2.00591   0.0324572
         248     1.81713     2.00515   0.0323353
         249      1.8203     2.00441    0.032214
         250     1.82319     2.00369   0.0320933
         251     1.82579     2.00298   0.0319732
         252     1.82812     2.00228   0.0318539
         253     1.83019      2.0016   0.0317352
         254     1.83199     2.00093   0.0316173
         255     1.83356     2.00028   0.0315001
         256     1.83489     1.99963   0.0313837
         257     1.83599       1.999   0.0312681
         258      1.8369     1.99837   0.0311532
         259     1.83761     1.99775   0.0310391
         260     1.83814     1.99713   0.0309258
         261     1.83851     1.99653   0.0308132
         262     1.83872     1.99592   0.0307015
         263      1.8388     1.99533   0.0305906
         264     1.83875     1.99473   0.0304805
         265     1.83859     1.99414   0.0303711
         266     1.83832     1.99356   0.0302626
         267     1.83796     1.99297   0.0301549
         268     1.83752     1.99239   0.0300479
         269       1.837     1.99182   0.0299418
         270     1.83642     1.99124   0.0298364
         271     1.83577     1.99067   0.0297318
         272     1.83506      1.9901    0.029628
         273      1.8343     1.98952    0.029525
         274     1.83349     1.98896   0.0294227
         275     1.83264     1.98839   0.0293212
         276     1.83174     1.98782   0.0292205
         277     1.83079     1.98725   0.0291205
         278      1.8298     1.98669   0.0290213
         279     1.82877     1.98612   0.0289228
         280     1.82768     1.98555    0.028825
         281     1.82655     1.98499    0.028728
         282     1.82536     1.98442   0.0286317
         283     1.82412     1.98386   0.0285361
         284     1.82281     1.98329   0.0284413
         285     1.82143     1.98272   0.0283471
         286     1.81999     1.98215   0.0282537
         287     1.81846     1.98158   0.0281611
         288     1.81685     1.98101   0.0280691
         289     1.81515     1.98044   0.0279778
         290     1.81335     1.97986   0.0278873
         291     1.81145     1.97928   0.0277974
         292     1.80944      1.9787   0.0277083
         293     1.80732     1.97811   0.0276199
         294     1.80509     1.97753   0.0275323
         295     1.80274     1.97693   0.0274453
         296     1.80026     1.97634   0.0273591
         297     1.79767     1.97573   0.0272736
         298     1.79496     1.97513   0.0271888
         299     1.79213     1.97452   0.0271048
         300     1.78919      1.9739   0.0270214
         301     1.78614     1.97327   0.0269389
         302     1.78299     1.97264    0.026857
         303     1.77974     1.97201   0.0267759
