#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         506       -0.44   -0.452648  0.00570782
         507       -0.44   -0.452623  0.00569662
         508       -0.28   -0.452283  0.00569553
         509       -0.44   -0.452259  0.00568439
         510       -0.52   -0.452392   0.0056748
         511       -0.28   -0.452055  0.00567371
         512        -0.2   -0.451563  0.00568395
         513       -0.36   -0.451384  0.00567567
         514       -0.52   -0.451518   0.0056662
         515       -0.44   -0.451495  0.00565524
         516       -0.68   -0.451938  0.00566159
         517       -0.76   -0.452534  0.00568191
         518        -0.6   -0.452819  0.00567807
         519       -0.52   -0.452948   0.0056686
         520       -0.36   -0.452769  0.00566052
         521       -0.52   -0.452898  0.00565112
         522       -0.36    -0.45272   0.0056431
         523        -0.2   -0.452237  0.00565296
         524       -0.36   -0.452061  0.00564491
         525       -0.36   -0.451886  0.00563688
         526       -0.36   -0.451711  0.00562887
         527       -0.44   -0.451689  0.00561824
         528       -0.68   -0.452121  0.00562421
         529       -0.68   -0.452552  0.00563005
         530        -0.6    -0.45283   0.0056263
         531        -0.6   -0.453107  0.00562252
         532       -0.36   -0.452932  0.00561468
         533       -0.28   -0.452608  0.00561351
         534       -0.28   -0.452285   0.0056123
         535       -0.52   -0.452411  0.00560324
         536       -0.28    -0.45209  0.00560201
         537       -0.44   -0.452067  0.00559162
         538       -0.36   -0.451896  0.00558384
         539       -0.52   -0.452022  0.00557491
         540       -0.52   -0.452148  0.00556601
         541       -0.52   -0.452274  0.00555714
         542       -0.36   -0.452103  0.00554949
         543       -0.28   -0.451786  0.00554831
         544       -0.44   -0.451765  0.00553816
         545       -0.36   -0.451596  0.00553055
         546       -0.36   -0.451429  0.00552297
         547       -0.52   -0.451554  0.00551429
         548       -0.68   -0.451971  0.00551997
         549       -0.52   -0.452095   0.0055113
         550       -0.52   -0.452218  0.00550266
         551       -0.44   -0.452196  0.00549272
         552        -0.6   -0.452464  0.00548929
         553       -0.36   -0.452297  0.00548191
         554        -0.6   -0.452563   0.0054785
         555       -0.52   -0.452685  0.00546997
         556       -0.52   -0.452806  0.00546148
         557       -0.68   -0.453214  0.00546688
         558       -0.52   -0.453333  0.00545839
         559       -0.52   -0.453453  0.00544993
         560       -0.68   -0.453857  0.00545519
         561       -0.44   -0.453832  0.00544553
         562       -0.28   -0.453523  0.00544461
         563       -0.28   -0.453215  0.00544366
         564       -0.12   -0.452624  0.00546597
         565       -0.44   -0.452602  0.00545635
         566       -0.44    -0.45258  0.00544675
         567       -0.28   -0.452275  0.00544564
         568       -0.44   -0.452254   0.0054361
