#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         211    -0.38004   -0.441994   0.0122667
         212    -0.38911   -0.441744   0.0122113
         213   -0.414693   -0.441617   0.0121547
         214   -0.403307   -0.441438   0.0120992
         215   -0.401211   -0.441251   0.0120444
         216    -0.39519   -0.441038   0.0119905
         217   -0.403733   -0.440866   0.0119365
         218    -0.34793    -0.44044   0.0118893
         219   -0.339819    -0.43998   0.0118439
         220   -0.352628   -0.439583   0.0117967
         221     -0.3701   -0.439269   0.0117475
         222   -0.357909   -0.438902   0.0117003
         223   -0.378113    -0.43863    0.011651
         224   -0.370439   -0.438325    0.011603
         225   -0.355596   -0.437957   0.0115573
         226   -0.348996   -0.437564   0.0115128
         227   -0.357313    -0.43721   0.0114675
         228   -0.399629   -0.437045   0.0114184
         229   -0.427543   -0.437004   0.0113686
         230   -0.435985      -0.437   0.0113192
         231   -0.466258   -0.437126   0.0112709
         232   -0.456618    -0.43721   0.0112226
         233   -0.449446   -0.437263   0.0111746
         234   -0.431516   -0.437238   0.0111269
         235   -0.428249     -0.4372   0.0110796
         236   -0.433435   -0.437184   0.0110326
         237   -0.444228   -0.437214   0.0109861
         238   -0.463939   -0.437326   0.0109406
         239   -0.444352   -0.437355   0.0108948
         240   -0.430642   -0.437327   0.0108495
         241   -0.410574   -0.437216    0.010805
         242   -0.423659    -0.43716   0.0107605
         243   -0.410643   -0.437051   0.0107168
         244   -0.447422   -0.437094   0.0106729
         245   -0.457695   -0.437178   0.0106297
         246   -0.455048    -0.43725   0.0105867
         247   -0.422615   -0.437191    0.010544
         248   -0.399814   -0.437041   0.0105026
         249   -0.371877   -0.436779   0.0104637
         250   -0.392843   -0.436603   0.0104233
