       BLOCK    VELOCITY ACTUAL_POFV    AVE_POFV       ERROR
           8     1.18865    0.731418    0.752747   0.0101612
           8     1.32849    0.740754    0.698018   0.0121606
           8     1.46833    0.637297    0.599134  0.00678816
           8     1.60817    0.458887    0.494886  0.00763398
           8     1.74801    0.353013    0.384799  0.00868916
           8     1.88786    0.282695    0.294071  0.00723888
           8      2.0277    0.209398    0.200277  0.00660201
           8     2.16754    0.140834    0.133427  0.00323053
           8     2.30738   0.0901155   0.0859523  0.00259092
           8     2.44722   0.0429389   0.0461502  0.00241641
           8     2.58706   0.0234062   0.0285294  0.00283386
           8      2.7269   0.0158579   0.0179602  0.00135049
           8     2.86674  0.00652195  0.00949324   0.0014195
           8     3.00659  0.00215191  0.00519356  0.00107231
           8     3.14643  0.00231744  0.00265678 0.000708356
           8     3.28627 0.000529701 0.000997328 0.000522424
           8     3.42611 0.000960084 0.000504872 0.000252588
           8     3.56595 0.000595914  0.00048418 0.000379594
           8     3.70579           0 0.000240021 0.000224519
           8     3.84563           0           0           0
           8     3.98547           0           0           0
           8     4.12531           0           0           0
           9   0.0699206  0.00996501   0.0109508  0.00114037
           9    0.209762   0.0714104   0.0836009  0.00398541
           9    0.349603    0.189964    0.206396  0.00567588
           9    0.489444    0.365593    0.372468  0.00771563
           9    0.629285    0.520597    0.525335  0.00701391
           9    0.769126    0.679806     0.66905    0.010672
           9    0.908968    0.743502    0.748821  0.00628396
           9     1.04881    0.797962    0.776976  0.00730561
           9     1.18865    0.744595    0.751841  0.00907243
           9     1.32849    0.716189    0.700037   0.0109758
           9     1.46833    0.608097     0.60013  0.00610654
           9     1.60817    0.511493    0.496731  0.00700522
           9     1.74801    0.409757    0.387572  0.00815421
           9     1.88786    0.274683    0.291917  0.00674749
           9      2.0277    0.215224    0.201938  0.00607377
           9     2.16754    0.119812    0.131914  0.00320627
           9     2.30738   0.0757142   0.0848148  0.00254053
           9     2.44722   0.0421775   0.0457088  0.00218787
           9     2.58706   0.0311862   0.0288246  0.00253431
           9      2.7269   0.0130439   0.0174139  0.00130625
           9     2.86674   0.0036417  0.00884307  0.00140279
           9     3.00659  0.00403897  0.00506527 0.000960809
           9     3.14643  0.00099319  0.00247194 0.000653322
           9     3.28627  0.00152289  0.00105572 0.000467629
           9     3.42611           0 0.000448775 0.000230668
           9     3.56595           0 0.000430382 0.000341208
           9     3.70579           0 0.000213352  0.00020115
           9     3.84563           0           0           0
           9     3.98547           0           0           0
           9     4.12531           0           0           0
          10   0.0699206   0.0151958   0.0113753  0.00110252
          10    0.209762   0.0941213   0.0846529  0.00372314
          10    0.349603    0.210258    0.206782  0.00512141
          10    0.489444    0.367149    0.371936  0.00696238
          10    0.629285    0.557047    0.528506  0.00699277
          10    0.769126    0.669443    0.669089  0.00960487
          10    0.908968    0.757572    0.749696  0.00571617
          10     1.04881    0.784852    0.777764  0.00661737
          10     1.18865    0.747773    0.751434  0.00817431
          10     1.32849    0.708608    0.700894  0.00991161
          10     1.46833    0.578964    0.598013  0.00585122
          10     1.60817    0.489146    0.495973  0.00634563
          10     1.74801    0.388966    0.387712  0.00733998
          10     1.88786    0.247172    0.287442  0.00740927
          10      2.0277    0.171888    0.198933  0.00616508
          10     2.16754    0.123983    0.131121  0.00298212
          10     2.30738   0.0836597   0.0846993   0.0022891
          10     2.44722   0.0505865   0.0461966  0.00202272
          10     2.58706   0.0333381   0.0292759  0.00232072
          10      2.7269   0.0286039   0.0185329  0.00158399
          10     2.86674   0.0220819    0.010167  0.00178083
          10     3.00659   0.0101968  0.00557842 0.000992343
          10     3.14643  0.00526391  0.00275114 0.000644893
          10     3.28627  0.00384034  0.00133419 0.000496905
          10     3.42611  0.00125804 0.000529701 0.000221343
          10     3.56595           0 0.000387344 0.000309789
          10     3.70579           0 0.000192017 0.000182163
          10     3.84563           0           0           0
