       BLOCK    DISTANCE ACTUAL_GOFR    AVE_GOFR       ERROR
           3    0.628416           0           0           0
           3    0.654066           0           0           0
           3    0.679715           0           0           0
           3    0.705365           0           0           0
           3    0.731015           0           0           0
           3    0.756664           0           0           0
           3    0.782314           0           0           0
           3    0.807964           0           0           0
           3    0.833613           0           0           0
           3    0.859263           0 8.42933e-05 6.88252e-05
           3    0.884913 0.000220093  0.00119217 0.000486259
           3    0.910562   0.0245978   0.0242224 0.000409461
           3    0.936212    0.167189    0.167211  0.00420989
           3    0.961861    0.572821    0.570249  0.00533315
           3    0.987511     1.20959     1.21145  0.00423479
           3     1.01316     1.89458     1.86851   0.0107416
           3     1.03881     2.37671     2.33524   0.0231741
           3     1.06446     2.55137     2.55373  0.00755157
           3     1.09011      2.5667     2.55438   0.0160526
           3     1.11576     2.36637     2.37482  0.00361335
           3     1.14141     2.16233      2.1783   0.0131136
           3     1.16706      1.9708       1.977  0.00868848
           3     1.19271      1.7025     1.72485   0.0117708
           3     1.21836     1.53899     1.55118  0.00880727
           3     1.24401     1.36997     1.40056   0.0129418
           3     1.26966      1.2335     1.24845  0.00915786
           3     1.29531     1.14085     1.13289  0.00345264
           3     1.32096     1.03909      1.0375  0.00144055
           3     1.34661    0.938209     0.95164   0.0124061
           3     1.37226    0.888607    0.878633  0.00890472
           3     1.39791    0.822605    0.813768  0.00362729
           3     1.42355    0.781549    0.767587  0.00694023
           3      1.4492     0.75696    0.738131  0.00769303
           3     1.47485    0.721603    0.716695   0.0021289
           3      1.5005    0.694185    0.694759  0.00448988
           3     1.52615     0.67323    0.685845  0.00631045
           3      1.5518     0.66981    0.680377  0.00600464
           3     1.57745     0.66719     0.67585  0.00561993
           3      1.6031    0.678935    0.679935   0.0128911
           3     1.62875    0.678889    0.676244  0.00238242
           3      1.6544    0.701049    0.698089  0.00880088
           3     1.68005    0.739226    0.725677  0.00756448
           3      1.7057     0.76532    0.750743   0.0059511
           3     1.73135    0.785457    0.774431  0.00452248
           3       1.757    0.814555     0.80908  0.00363842
           3     1.78265    0.849625    0.838444  0.00476524
           3      1.8083     0.90803     0.89411  0.00871729
           3     1.83395    0.933511    0.939625  0.00304165
           3      1.8596    0.964242    0.969199  0.00316165
           3     1.88525     1.01951      1.0146   0.0052165
           3      1.9109     1.05826     1.05649  0.00555248
           3     1.93655     1.08423     1.09072  0.00409218
           3      1.9622     1.12794     1.12117  0.00496616
           3     1.98785      1.1666     1.15581  0.00580314
           3      2.0135     1.17793     1.18102  0.00126931
           3     2.03915      1.2039      1.2124  0.00407475
           3      2.0648     1.22986     1.22665  0.00207594
           3     2.09045     1.21977     1.23155  0.00482596
           3      2.1161     1.20905     1.21751  0.00363988
           3     2.14174     1.18566     1.20219  0.00802905
           3     2.16739     1.15958     1.18109   0.0109642
           3     2.19304     1.14616     1.15811  0.00496387
           3     2.21869     1.12756     1.12936  0.00556914
           3     2.24434     1.09736     1.09904   0.0048826
           3     2.26999     1.06326     1.07036   0.0060461
           3     2.29564     1.02301     1.03679  0.00565318
           3     2.32129    0.987838     1.00992  0.00934543
           3     2.34694    0.983285    0.980745  0.00217855
           3     2.37259    0.955621    0.957836  0.00139941
           3     2.39824    0.945696    0.945925  0.00389421
           3     2.42389    0.928892    0.923299  0.00230596
           3     2.44954    0.933011    0.913511  0.00867829
           3     2.47519     0.91479    0.903602  0.00474396
           3     2.50084    0.887156     0.88592  0.00370885
           3     2.52649    0.895318    0.883568  0.00714758
           3     2.55214    0.902721    0.888877   0.0083839
           4   0.0128248           0           0           0
           4   0.0384745           0           0           0
           4   0.0641241           0           0           0
           4   0.0897737           0           0           0
           4    0.115423           0           0           0
           4    0.141073           0           0           0
           4    0.166723           0           0           0
           4    0.192372           0           0           0
           4    0.218022           0           0           0
           4    0.243672           0           0           0
           4    0.269321           0           0           0
           4    0.294971           0           0           0
           4     0.32062           0           0           0
           4     0.34627           0           0           0
           4     0.37192           0           0           0
           4    0.397569           0           0           0
           4    0.423219           0           0           0
           4    0.448869           0           0           0
           4    0.474518           0           0           0
           4    0.500168           0           0           0
           4    0.525818           0           0           0
           4    0.551467           0           0           0
           4    0.577117           0           0           0
           4    0.602767           0           0           0
           4    0.628416           0           0           0
           4    0.654066           0           0           0
           4    0.679715           0           0           0
           4    0.705365           0           0           0
           4    0.731015           0           0           0
           4    0.756664           0           0           0
           4    0.782314           0           0           0
           4    0.807964           0           0           0
           4    0.833613           0           0           0
           4    0.859263           0 6.32199e-05 5.47501e-05
           4    0.884913  0.00203586  0.00140309 0.000407882
           4    0.910562   0.0250481   0.0244289 0.000355339
           4    0.936212    0.170171    0.167951  0.00322182
           4    0.961861     0.57175    0.570624  0.00401304
           4    0.987511     1.18926     1.20591  0.00575928
           4     1.01316     1.79161     1.84929   0.0184959
           4     1.03881     2.31164     2.32934   0.0181159
           4     1.06446     2.54463     2.55145  0.00599637
           4     1.09011     2.54089     2.55101   0.0123888
           4     1.11576     2.40356       2.382  0.00678745
           4     1.14141     2.18063     2.17888  0.00984815
           4     1.16706     1.99728     1.98207  0.00785738
           4     1.19271     1.79008     1.74116   0.0166537
           4     1.21836      1.5778     1.55784   0.0087661
           4     1.24401     1.40945     1.40278  0.00989511
           4     1.26966     1.26962     1.25375  0.00825653
           4     1.29531     1.15219     1.13772  0.00491605
           4     1.32096     1.02398     1.03412  0.00311931
           4     1.34661    0.939516    0.948609  0.00966776
           4     1.37226    0.895227    0.882781  0.00758362
           4     1.39791    0.815424    0.814182  0.00274399
           4     1.42355    0.777169    0.769982  0.00560339
           4      1.4492     0.74158    0.738993   0.0058179
           4     1.47485    0.691817    0.710476  0.00561795
           4      1.5005    0.684297    0.692143  0.00405833
           4     1.52615    0.674846    0.683095  0.00529819
