#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         209   -0.379093   -0.401484  0.00342627
         210   -0.424169   -0.401592  0.00341165
         211   -0.425729   -0.401706   0.0033974
         212   -0.430497   -0.401842  0.00338409
         213   -0.405646    -0.40186  0.00336825
         214   -0.394976   -0.401828  0.00335266
         215   -0.391176   -0.401778  0.00333743
         216   -0.385252   -0.401702  0.00332286
         217   -0.380871   -0.401606  0.00330893
         218   -0.385845   -0.401533  0.00329455
         219   -0.390117   -0.401481  0.00327991
         220   -0.340222   -0.401203   0.0032768
         221   -0.336994   -0.400912  0.00327483
         222   -0.369307    -0.40077  0.00326317
         223   -0.409052   -0.400807  0.00324875
         224   -0.444968   -0.401004  0.00324022
         225   -0.473956   -0.401328    0.003242
         226    -0.49579   -0.401746  0.00325449
         227   -0.473417   -0.402062  0.00325543
         228   -0.431581   -0.402191  0.00324373
         229   -0.403753   -0.402198  0.00322957
         230   -0.366391   -0.402043  0.00321928
         231   -0.324978   -0.401709  0.00322258
         232   -0.291838   -0.401235   0.0032433
         233   -0.294897   -0.400779  0.00326134
         234   -0.307374    -0.40038  0.00327174
         235   -0.329066   -0.400076  0.00327186
         236   -0.364843   -0.399927   0.0032614
         237   -0.389378   -0.399883  0.00324794
         238   -0.405499   -0.399906  0.00323438
         239   -0.366035   -0.399764  0.00322395
         240   -0.347883   -0.399548  0.00321776
         241   -0.337666   -0.399292  0.00321463
         242   -0.343114   -0.399059  0.00320972
         243   -0.383747   -0.398996  0.00319713
         244   -0.389189   -0.398956  0.00318428
         245   -0.372115   -0.398847  0.00317317
         246    -0.35249   -0.398658  0.00316586
         247   -0.360888   -0.398505  0.00315673
         248   -0.341992   -0.398277  0.00315222
         249   -0.344371   -0.398061  0.00314698
         250   -0.331172   -0.397793  0.00314575
