#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         209       -0.44   -0.464498   0.0082488
         210       -0.52   -0.464762  0.00821375
         211       -0.44   -0.464645  0.00817566
         212       -0.36   -0.464151  0.00815198
         213       -0.28   -0.463286  0.00815943
         214       -0.36   -0.462804  0.00813556
         215       -0.52    -0.46307  0.00810207
         216       -0.44   -0.462963  0.00806527
         217       -0.36   -0.462488  0.00804204
         218        -0.6   -0.463119  0.00802985
         219       -0.28   -0.462283  0.00803661
         220       -0.52   -0.462545  0.00800436
         221       -0.36   -0.462081  0.00798158
         222       -0.44   -0.461982  0.00794624
         223       -0.52   -0.462242  0.00791487
         224       -0.44   -0.462143  0.00788016
         225       -0.52     -0.4624  0.00784933
         226       -0.44   -0.462301  0.00781522
         227       -0.52   -0.462555  0.00778493
         228       -0.44   -0.462456  0.00775141
         229       -0.36   -0.462009  0.00773046
         230       -0.52   -0.462261  0.00770096
         231       -0.36   -0.461818  0.00768034
         232       -0.44   -0.461724  0.00764781
         233       -0.68   -0.462661  0.00767215
         234       -0.36   -0.462222  0.00765189
         235       -0.52   -0.462468  0.00762328
         236       -0.36   -0.462034  0.00760333
         237       -0.44   -0.461941  0.00757182
         238        -0.6   -0.462521  0.00756219
         239       -0.44   -0.462427  0.00753114
         240       -0.52   -0.462667  0.00750358
         241        -0.6   -0.463237  0.00749405
         242       -0.52   -0.463471  0.00746675
         243       -0.44   -0.463374  0.00743665
         244       -0.52   -0.463607  0.00740979
         245        -0.6   -0.464163  0.00740043
         246       -0.52    -0.46439  0.00737383
         247       -0.68   -0.465263  0.00739546
         248       -0.68   -0.466129  0.00741616
         249       -0.52   -0.466345  0.00738953
         250       -0.76    -0.46752  0.00745274
         251       -0.44    -0.46741  0.00742386
         252       -0.52   -0.467619  0.00739733
         253       -0.36   -0.467194  0.00738031
         254       -0.36   -0.466772  0.00736331
         255        -0.6   -0.467294  0.00735295
         256       -0.68   -0.468125  0.00737102
         257        -0.6   -0.468638  0.00736018
         258       -0.44   -0.468527  0.00733249
         259       -0.44   -0.468417  0.00730501
         260       -0.44   -0.468308  0.00727773
         261       -0.52   -0.468506  0.00725254
         262       -0.52   -0.468702  0.00722752
         263       -0.36   -0.468289  0.00721185
         264        -0.2   -0.467273  0.00725578
         265       -0.68   -0.468075  0.00727267
         266       -0.68   -0.468872  0.00728883
         267       -0.68   -0.469663   0.0073043
         268       -0.52   -0.469851  0.00727946
         269        -0.6   -0.470335  0.00726846
         270        -0.6   -0.470815  0.00725739
         271        -0.6   -0.471292  0.00724625
         272       -0.12       -0.47   0.0073338
         273       -0.36   -0.469597    0.007318
         274       -0.52   -0.469781   0.0072936
         275       -0.36   -0.469382  0.00727799
         276       -0.44   -0.469275   0.0072524
         277        -0.6   -0.469747  0.00724156
         278       -0.52   -0.469928  0.00721777
         279       -0.44   -0.469821  0.00719269
         280       -0.28   -0.469143  0.00719888
         281        -0.6   -0.469609  0.00718831
         282       -0.44   -0.469504  0.00716359
         283       -0.52   -0.469682   0.0071405
         284       -0.44   -0.469577  0.00711612
         285       -0.36   -0.469193  0.00710153
         286       -0.36   -0.468811  0.00708695
         287       -0.44   -0.468711  0.00706297
         288       -0.36   -0.468333  0.00704853
         289       -0.44   -0.468235  0.00702482
         290       -0.36   -0.467862   0.0070105
         291       -0.36   -0.467491   0.0069962
         292       -0.52   -0.467671  0.00697455
         293        -0.6   -0.468123  0.00696536
         294       -0.52   -0.468299   0.0069439
         295       -0.28   -0.467661  0.00694964
         296       -0.44   -0.467568  0.00692679
         297       -0.36   -0.467205  0.00691293
         298       -0.52   -0.467383    0.006892
         299       -0.52   -0.467559  0.00687119
         300       -0.44   -0.467467   0.0068489
         301       -0.44   -0.467375  0.00682676
         302       -0.44   -0.467285  0.00680476
         303       -0.52   -0.467459  0.00678452
         304       -0.52   -0.467632   0.0067644
         305       -0.36   -0.467279  0.00675142
         306       -0.52   -0.467451  0.00673156
         307       -0.52   -0.467622  0.00671181
         308       -0.76   -0.468571  0.00675681
         309       -0.68   -0.469256   0.0067695
         310       -0.52   -0.469419  0.00674964
         311       -0.68   -0.470096  0.00676182
         312       -0.52   -0.470256  0.00674204
         313       -0.44    -0.47016  0.00672119
         314       -0.28   -0.469554  0.00672701
         315       -0.36   -0.469206  0.00671464
         316       -0.36   -0.468861  0.00670228
         317        -0.6   -0.469274  0.00669389
         318       -0.44   -0.469182  0.00667348
         319       -0.52   -0.469342  0.00665446
         320        -0.6    -0.46975  0.00664618
         321       -0.68   -0.470405  0.00665767
         322       -0.68   -0.471056  0.00666874
         323       -0.68   -0.471703  0.00667939
         324        -0.6   -0.472099   0.0066705
         325       -0.36   -0.471754  0.00665889
         326       -0.52   -0.471902  0.00664011
         327       -0.52   -0.472049  0.00662143
