#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         329     0.91447     1.00656   0.0156723
         330    0.913176     1.00627   0.0156274
         331    0.911816     1.00599   0.0155828
         332    0.910389      1.0057   0.0155385
         333    0.908897     1.00541   0.0154946
         334    0.907343     1.00512    0.015451
         335     0.90573     1.00482   0.0154077
         336     0.90406     1.00452   0.0153648
         337    0.902336     1.00422   0.0153222
         338    0.900559     1.00391   0.0152799
         339     0.89873      1.0036    0.015238
         340    0.896852     1.00328   0.0151964
         341    0.894926     1.00297   0.0151551
         342    0.892956     1.00265   0.0151142
         343    0.890943     1.00232   0.0150737
         344    0.888892     1.00199   0.0150335
         345    0.886802     1.00166   0.0149936
         346    0.884678     1.00132   0.0149541
         347    0.882523     1.00098   0.0149149
         348    0.880338     1.00063   0.0148761
         349    0.878128     1.00028   0.0148376
         350    0.875895    0.999923   0.0147995
         351    0.873641    0.999563   0.0147617
         352     0.87137    0.999199   0.0147242
         353    0.869083     0.99883   0.0146871
         354    0.866787    0.998457   0.0146504
         355    0.864484     0.99808    0.014614
         356    0.862177    0.997698   0.0145779
         357    0.859871    0.997312   0.0145422
         358    0.857568    0.996922   0.0145068
         359    0.855272    0.996527   0.0144717
         360    0.852988    0.996128    0.014437
         361    0.850719    0.995726   0.0144027
         362     0.84847    0.995319   0.0143686
         363    0.846244    0.994908   0.0143349
         364    0.844045    0.994494   0.0143015
         365    0.841875    0.994075   0.0142684
         366    0.839738    0.993654   0.0142357
         367    0.837638    0.993229   0.0142032
         368    0.835578      0.9928   0.0141711
         369    0.833561    0.992369   0.0141393
         370    0.831591    0.991934   0.0141077
         371    0.829667    0.991497   0.0140765
         372    0.827794    0.991057   0.0140455
         373    0.825973    0.990614   0.0140148
         374    0.824207    0.990169   0.0139844
         375    0.822497    0.989722   0.0139543
         376    0.820845    0.989273   0.0139244
         377    0.819253    0.988822   0.0138948
         378    0.817722    0.988369   0.0138654
         379    0.816252    0.987915   0.0138362
         380    0.814845     0.98746   0.0138073
         381    0.813503    0.987003   0.0137786
         382    0.812228    0.986546   0.0137501
         383    0.811019    0.986087   0.0137219
         384    0.809877    0.985628   0.0136938
         385    0.808804    0.985169   0.0136659
         386    0.807801     0.98471   0.0136383
         387    0.806867     0.98425   0.0136108
         388    0.806004    0.983791   0.0135834
         389    0.805212    0.983332   0.0135563
         390    0.804492    0.982873   0.0135293
         391    0.803846    0.982415   0.0135024
