#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         210     1.34479      1.3773  0.00906345
         211     1.36523     1.37724  0.00902068
         212     1.37143     1.37721  0.00897817
         213     1.37602     1.37721  0.00893602
         214       1.356     1.37711  0.00889481
         215     1.34127     1.37694    0.008855
         216     1.33769     1.37676  0.00881587
         217      1.3361     1.37657  0.00877723
         218      1.3609      1.3765  0.00873727
         219     1.37524      1.3765  0.00869737
         220     1.34683     1.37636  0.00865888
         221     1.33013     1.37615  0.00862223
         222     1.30252     1.37582  0.00858977
         223     1.28759     1.37543  0.00856036
         224     1.27714     1.37499  0.00853338
         225      1.2729     1.37453  0.00850751
         226      1.2884     1.37415  0.00847839
         227     1.30362     1.37384  0.00844674
         228     1.33177     1.37366   0.0084117
         229     1.33928     1.37351  0.00837631
         230      1.3259      1.3733  0.00834245
         231     1.30657     1.37301  0.00831133
         232     1.30262     1.37271  0.00828105
         233     1.31892     1.37248  0.00824872
         234     1.33185      1.3723   0.0082153
         235     1.32286     1.37209  0.00818303
         236     1.31368     1.37184   0.0081521
         237      1.3142      1.3716  0.00812133
         238     1.30781     1.37133  0.00809163
         239     1.31722     1.37111  0.00806094
         240     1.32034      1.3709  0.00803013
         241     1.33879     1.37076  0.00799791
         242     1.33855     1.37063  0.00796597
         243     1.33232     1.37047  0.00793475
         244     1.31352     1.37024  0.00790566
         245     1.31059     1.36999  0.00787714
         246     1.32804     1.36982  0.00784697
         247     1.37287     1.36984  0.00781521
         248     1.37971     1.36988   0.0077838
         249     1.35837     1.36983  0.00775267
         250     1.31959     1.36963  0.00772427
