#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         198   -0.318676    -0.47312   0.0144243
         199   -0.353854    -0.47252   0.0143642
         200   -0.381489   -0.472065   0.0142996
         201   -0.410213   -0.471757   0.0142318
         202   -0.389164   -0.471349   0.0141672
         203    -0.39625   -0.470979   0.0141022
         204   -0.449822   -0.470875   0.0140335
         205   -0.444038   -0.470744   0.0139657
         206   -0.440656   -0.470598   0.0138986
         207   -0.417844   -0.470343   0.0138338
         208   -0.396815    -0.46999   0.0137718
         209   -0.417576   -0.469739   0.0137082
         210   -0.420617   -0.469505   0.0136449
         211   -0.451389   -0.469419   0.0135805
         212   -0.460635   -0.469378   0.0135165
         213   -0.467119   -0.469367   0.0134531
         214   -0.437471   -0.469218    0.013391
         215   -0.415248   -0.468967   0.0133311
         216   -0.409931   -0.468694   0.0132722
         217   -0.407727   -0.468413    0.013214
         218   -0.445051   -0.468305   0.0131538
         219   -0.466416   -0.468297   0.0130938
         220   -0.423528   -0.468093   0.0130358
         221   -0.398399   -0.467778   0.0129807
         222   -0.356904   -0.467279   0.0129318
         223   -0.334686   -0.466684   0.0128875
         224   -0.318944   -0.466024   0.0128468
         225   -0.312615   -0.465343   0.0128078
         226   -0.336112   -0.464771   0.0127639
         227   -0.358828   -0.464304   0.0127162
         228   -0.400966   -0.464026   0.0126634
         229   -0.412188     -0.4638   0.0126102
         230     -0.3919   -0.463487   0.0125592
         231   -0.362969   -0.463052   0.0125124
         232   -0.357377   -0.462597   0.0124667
         233   -0.381501   -0.462249   0.0124181
         234   -0.401348   -0.461988   0.0123677
         235    -0.38729    -0.46167   0.0123192
         236   -0.373875   -0.461298   0.0122726
         237   -0.374656   -0.460933   0.0122263
         238   -0.364958    -0.46053   0.0121815
         239   -0.379165   -0.460189   0.0121353
         240    -0.38384   -0.459871   0.0120889
         241   -0.411748   -0.459671   0.0120404
         242   -0.410936    -0.45947   0.0119924
         243   -0.401647   -0.459232   0.0119454
         244    -0.37343    -0.45888   0.0119016
         245   -0.369279   -0.458515   0.0118586
         246   -0.395452   -0.458258   0.0118132
         247   -0.462663   -0.458276   0.0117654
         248   -0.472975   -0.458335   0.0117181
         249   -0.440678   -0.458265   0.0116712
         250    -0.38238   -0.457961   0.0116285
