#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         225     1.53169     1.52648  0.00231289
         226     1.52773     1.52648  0.00230266
         227     1.52137     1.52646  0.00229263
         228     1.53677      1.5265  0.00228302
         229     1.55655     1.52664  0.00227682
         230      1.5545     1.52676  0.00227014
         231     1.54907     1.52685  0.00226237
         232     1.54058     1.52691  0.00225339
         233     1.51992     1.52688  0.00224392
         234     1.52515     1.52687  0.00223434
         235     1.52875     1.52688  0.00222485
         236     1.52536     1.52688  0.00221543
         237     1.52411     1.52686  0.00220611
         238     1.51685     1.52682  0.00219725
         239     1.50659     1.52674  0.00218968
         240      1.5208     1.52671   0.0021807
         241     1.51705     1.52667  0.00217202
         242     1.52193     1.52665  0.00216313
         243     1.51464      1.5266   0.0021548
         244     1.51705     1.52656  0.00214632
         245     1.52544     1.52656  0.00213757
         246     1.55172     1.52666  0.00213132
         247     1.55605     1.52678  0.00212601
         248     1.53515     1.52682  0.00211771
         249     1.52065     1.52679  0.00210935
         250     1.53461     1.52682  0.00210114
